Name,Yearly Performance,Volatility
SQL,-15.19823789,7.40546942
SQZ,-51.47750168,3.43347639
SRDX,24.49819866,3.79295893
SRGA,-58.79245283,7.33750147
SRNE,-7.06766917,5
SRPT,-40.60822898,2.38874742
SRRA,49.4370522,2.37442922
SRRK,-11.5248227,5.95026643
SRTS,103.2967033,12
SSKN,13.88888889,3.76705868
STAA,43.39318885,4.99637944
STAB,25.88996764,9.33333333
STE,21.0388812,2.32808795
STIM,-39.48051948,5.48712206
STOK,-32.98969072,4.53400504
STRO,3.76226827,5.88694268
STRR,1.18577075,3.2
STSA,43.43675418,5.86206897
STTK,-63.70117793,8.42745439
STVN,12.09964413,3.31215971
STXS,59.44055944,10.59034268
SUPN,52.76785714,8.65718799
SURF,-22.07151665,3.850829
SVRA,6.66666667,3.36936937
SWAV,119.8785086,3.67947267
SWTX,4.18234443,4.77766585
SXTC,-21.12962963,3.31764706
SYBX,33.49514563,3.27272727
SYK,13.33390944,1.00704549
SYN,8.14285714,8.18281336
SYRS,-49.45978391,3.64963504
TALS,-5.04615385,12.89173789
TARA,-69.33783214,5.78279267
TARO,-14.68322591,3.17375231
TARS,10.25747508,10.66828283
TBPH,-54.78211658,4.98084291
TCDA,23.85392385,25.53846154
TCMD,-32.71921642,2.34593838
TCON,-56.08108108,5.33038412
TCRR,-77.26653033,4.29447853
TECH,63.93916745,3.50266243
TELA,-25.71595558,2.58790772
TENX,29.90654206,2.93382353
TERN,-52.03915171,5.91715976
TFFP,-51.90635452,14.35552075
TFX,-9.26498003,1.32981874
TGTX,-10.03039514,6.07843137
THMO,-29.20353982,7.1782997
THRX,76.14678899,3.55117875
TIL,-16.22541604,9.5703125
TIVC,7.51445087,7.81818182
TKNO,-0.12,2.82144297
TLIS,-82.87769784,22.3628692
TLSA,-51.06382979,5.79710145
TMBR,-46.06729868,2.97029703
TMCI,-17.07794751,3.61681329
TMDX,70.03436426,5.10620915
TMO,33.92066806,3.36146451
TNDM,47.62052877,4.50456985
TNXP,-7.44572592,6.85767098
TNYA,46.05863192,7.21370604
TPST,-53.84615385,3.65853659
TPTX,-59.16697315,5.13294798
TRIB,-31.72413793,2.56410256
TRVI,-65.80645161,15.23809524
TRVN,-69.35968379,11.84210526
TSHA,-29.09441233,6.89655172
TTNP,-57.27891156,6.98013245
TTOO,-40.0862069,5.53597651
TVTX,20.97701149,2.35142119
TWST,6.90322581,6.92313139
TXG,18.36072824,2.63309261
TXMD,-53.7007874,6.87931034
TYME,-4.43196005,2.79850746
UBX,-42.67515924,7.3071161
UPC,-50.94736842,1.73478261
URGN,-39.02548055,12.24952741
UTHR,44.02948055,2.3003258
UTMD,34.2162819,2.81777778
UTRS,5.55555556,6.8369213
VACC,-10.56737589,1.74603175
VAPO,-19.45174615,2.85313377
VAXX,-8.33836858,24.04181185
VBIV,5.20833333,4.12371134
VBLT,84.42622951,8.27740492
VCEL,58.95348837,2.52574792
VCNX,-4.59183673,4.91803279
VCYT,-2.91683906,4.19788453
VECT,-80.08666942,2.9958159
VERA,113.4782609,10.91393079
VERO,-24.09090909,4.32098765
VERU,221.7081851,7.18814139
VINC,-21.84615385,3.40909091
VIR,23.00331248,4.37844458
VIRI,-64.93117893,13.50711805
VIRX,34.4,9.27561837
VIVE,-58.6,3.17848411
VIVO,8.07651435,3.4159919
VKTX,-8.41121495,3.98630137
VLON,-36.17021277,6.62800875
VNDA,32.1509434,1.96078431
VNRX,18.45238095,4.28463476
VOR,-53.84,7.88143713
VRAY,69.3989071,4.06301824
VRCA,38.70967742,9.90606319
VRDN,-9.88483685,3.16863588
VREX,84.72126635,8.83878691
VRNA,-25.97222222,2.63157895
VRPX,-35.37519142,6.41975309
VRTX,-15.53193398,1.77282035
VSTM,116.2162162,4.88599349
VTGN,200.8775596,4.784689
VTRS,-15.05507956,1.89366351
VTVT,-13.33333333,4.69798658
VTYX,3.47288297,5.8411215
VXRT,20.63492063,3.85196375
VYGR,-62.22732491,8.5443038
VYNE,-81.69642857,6.61157025
WAT,50.96241187,2.42614963
WINT,-73.69230769,4.72781065
WST,54.19993724,4.71604589
WVE,-48.23529412,4.81651376
XBIO,88.262638,6.25
XBIT,-26.64576803,5.57206538
XCUR,-48.2,42.66666667
XENE,204.376784,4.34782609
XENT,45.3125,0.37147103
XERS,-48.71244635,11.21076233
XFOR,-26.51515152,4.45638097
XLO,56.9375,29.69837587
XLRN,52.8151076,0.76803141
XNCR,-7.79220779,2.40215924
XOMA,-17.82650143,3.09358082
XRAY,11.8609407,1.58001102
XRTX,-98.14670865,10.03584229
XTNT,-20.63492063,6
XXII,203.8095238,5.4313099
YMAB,-58.40649693,17.61546724
YMTX,-77.58928571,6.0483871
ZBH,-12.24775225,2.68585501
ZGNX,-30.68783069,3.5589672
ZIOP,-47.58364312,8.29648505
ZIVO,-68.96551724,6.21468927
ZNTL,85.1887473,5.18459283
ZSAN,27.0722744,4.54248366
ZTS,33.09556912,2.54570701
ZYME,-54.10706045,9.09589041
ZYNE,6.70103093,4.86618005
ZYXI,10.0513573,4.88980716
